country,exportTo,exportValue,latOrig,lngOrig,latExp,lngExp
Rwanda,United Republic of Tanzania,2260115761.91139,-1.999970826179018,29.92313418485719,-6.263284549138609,34.81612480977888
Rwanda,Uganda,734465164.154751,-1.999970826179018,29.92313418485719,1.2795561780297149,32.3910249429228
Rwanda,Zambia,232104565.929645,-1.999970826179018,29.92313418485719,-13.458678272292644,27.79372313864366
Rwanda,South Atlantic Ocean,211632911.032687,-1.999970826179018,29.92313418485719,-33.73758393241584,-18.834109113606257
Rwanda,Indian Ocean,207525689.53916,-1.999970826179018,29.92313418485719,-27.27272098756299,79.60241033422611
Rwanda,North Atlantic Ocean,352007683.705479,-1.999970826179018,29.92313418485719,31.77621229620658,-40.24757688973919
Sudan,Angola,630871082.666563,16.01968904986606,29.95823564163668,-12.296453484204058,17.54868775751044
Sudan,Afghanistan,1224906338.05212,16.01968904986606,29.95823564163668,33.83158993403978,66.02671001579297
Sudan,Azerbaijan,113638672.249994,16.01968904986606,29.95823564163668,40.29002508571207,47.52976611198583
Sudan,Bangladesh,694140477.28195,16.01968904986606,29.95823564163668,23.832903965454467,90.27888423957384
Sudan,Burkina Faso,1838555498.52606,16.01968904986606,29.95823564163668,12.2743161788947,-1.7463174864330968
Sudan,Benin,1662408973.6238,16.01968904986606,29.95823564163668,9.65477664479024,2.340040142091846
Sudan,Bhutan,234426392.217009,16.01968904986606,29.95823564163668,27.38998665727504,90.44838953862808
Sudan,Central African Republic,20127703489.881,16.01968904986606,29.95823564163668,6.575386332419616,20.48545420418057
Sudan,Congo,3194203734.1019,16.01968904986606,29.95823564163668,-0.8287800549823657,15.241283225659094
Sudan,Côte D’Ivoire,2351211814.08612,16.01968904986606,29.95823564163668,7.625450033765953,-5.553708579099854
Sudan,Democratic Republic of The Congo,14545755306.3506,16.01968904986606,29.95823564163668,-2.8768890294350187,23.65599115684932
Sudan,Cameroon,22601370142.2557,16.01968904986606,29.95823564163668,5.692053822994344,12.74482878108684
Sudan,Eritrea,4268227444.55118,16.01968904986606,29.95823564163668,15.381793541450437,38.840780813511046
Sudan,Algeria,348886276.588148,16.01968904986606,29.95823564163668,28.155710995846707,2.676922541826859
Sudan,Greece,150463528.668722,16.01968904986606,29.95823564163668,39.04416485795157,22.98459477674008
Sudan,Ghana,3393192402.15216,16.01968904986606,29.95823564163668,7.966108487957985,-1.2060301927522723
Sudan,Gabon,6608968261.31672,16.01968904986606,29.95823564163668,-0.6252422765322024,11.788833099867896
Sudan,Ethiopia,59354088668.7293,16.01968904986606,29.95823564163668,8.630270127126032,39.6354810001928
Sudan,Guinea,2118263729.06357,16.01968904986606,29.95823564163668,10.436163385489923,-10.914087245679648
Sudan,Equatorial Guinea,3166412572.25664,16.01968904986606,29.95823564163668,1.702628515803319,10.332736242694244
Sudan,Guinea-Bissau,312680638.985935,16.01968904986606,29.95823564163668,12.041793777339032,-14.905210498656109
Sudan,India,22322548511.4243,16.01968904986606,29.95823564163668,22.314902832527373,79.44289028732973
Sudan,Iraq,706394010.548437,16.01968904986606,29.95823564163668,33.04684766583801,43.77453531101283
Sudan,Iran,4766091663.32631,16.01968904986606,29.95823564163668,32.56443118724894,54.30100636263344
Sudan,Italy,115824450.249163,16.01968904986606,29.95823564163668,42.7873712588429,12.075725981213232
Sudan,Liberia,1028737721.85709,16.01968904986606,29.95823564163668,6.446834211175251,-9.309546519636465
Sudan,Kenya,169035724.734112,16.01968904986606,29.95823564163668,0.5340153825477173,37.86033937437124
Sudan,Kyrgyzstan,114287750.231638,16.01968904986606,29.95823564163668,41.46452417737251,74.5561862132607
Sudan,Libya,177078424.959003,16.01968904986606,29.95823564163668,27.024116248608912,18.03503674371914
Sudan,Kazakhstan,1056478892.40149,16.01968904986606,29.95823564163668,48.16396370170779,67.28831285194073
Sudan,Mauritania,704674940.74513,16.01968904986606,29.95823564163668,20.259593182867764,-10.33218869462704
Sudan,Mali,4647317399.6828,16.01968904986606,29.95823564163668,17.355026557540977,-3.5218041989650803
Sudan,Myanmar/Burma,1424826357.91834,16.01968904986606,29.95823564163668,21.128189982877604,96.51112175814735
Sudan,Madagascar,124479748.949427,16.01968904986606,29.95823564163668,-19.391469677638604,46.700179661282526
Sudan,Niger,4761299499.01215,16.01968904986606,29.95823564163668,17.42053590578017,9.40033100329598
Sudan,Nigeria,45586669469.1533,16.01968904986606,29.95823564163668,9.592893415226971,8.099244955719461
Sudan,Mozambique,106762103.667536,16.01968904986606,29.95823564163668,-17.26107718420528,35.55357178029834
Sudan,Nepal,1413412429.71413,16.01968904986606,29.95823564163668,28.259169551927684,83.94546589061217
Sudan,Pakistan,2005937331.24427,16.01968904986606,29.95823564163668,29.397678692182367,68.80823417197462
Sudan,Oman,157209949.204066,16.01968904986606,29.95823564163668,20.5969155112414,56.102721270328594
Sudan,Russian Federation,1092799832.65506,16.01968904986606,29.95823564163668,61.995078654340304,96.70029935507075
Sudan,Saudi Arabia,2949484615.09216,16.01968904986606,29.95823564163668,24.12384839693873,44.5438468173102
Sudan,Rwanda,195134881.765813,16.01968904986606,29.95823564163668,-1.999970826179018,29.92313418485719
Sudan,Somalia,407981889.035777,16.01968904986606,29.95823564163668,6.06323877961878,45.86797365769323
Sudan,South Sudan,16181716934.7622,16.01968904986606,29.95823564163668,7.290525017147963,30.32620232981809
Sudan,São Tomé and Príncipe,200623875.353978,16.01968904986606,29.95823564163668,0.4324132419908565,6.713874072876805
Sudan,Tajikistan,435383148.952362,16.01968904986606,29.95823564163668,38.52739215436031,71.03662462980516
Sudan,Syria,156542790.924955,16.01968904986606,29.95823564163668,35.01276450562787,38.50882249067121
Sudan,United Republic of Tanzania,1402771864.72671,16.01968904986606,29.95823564163668,-6.263284549138609,34.81612480977888
Sudan,Chad,58798455526.7871,16.01968904986606,29.95823564163668,15.340603109942275,18.661326543997767
Sudan,Turkmenistan,593394117.908855,16.01968904986606,29.95823564163668,39.11302469504172,59.38672976483012
Sudan,Sierra Leone,1125964620.58346,16.01968904986606,29.95823564163668,8.559153740505412,-11.790413745473204
Sudan,Togo,2094655794.97997,16.01968904986606,29.95823564163668,8.530972893146162,0.9785525868288678
Sudan,Thailand,145249308.424679,16.01968904986606,29.95823564163668,15.104280053757492,101.01411631186171
Sudan,Türkiye,824748040.548751,16.01968904986606,29.95823564163668,39.06054864637008,35.173145714521034
Sudan,Senegal,962220589.462339,16.01968904986606,29.95823564163668,14.357116841826906,-14.461735445986168
Sudan,Uganda,688983430.875345,16.01968904986606,29.95823564163668,1.2795561780297149,32.3910249429228
Sudan,Yemen,2273624359.85092,16.01968904986606,29.95823564163668,15.904743237561137,47.5931539336064
Sudan,Zambia,523798138.378426,16.01968904986606,29.95823564163668,-13.458678272292644,27.79372313864366
Sudan,Arunachal Pradesh,472561696.942507,16.01968904986606,29.95823564163668,28.127346478780755,94.34451708702956
Sudan,Uzbekistan,727800904.263529,16.01968904986606,29.95823564163668,41.76138065418332,63.16219743986578
Sudan,Jammu Kashmir,707591687.441289,16.01968904986606,29.95823564163668,34.554486998316825,75.80336939320793
Sudan,Abyei,1328928839.33531,16.01968904986606,29.95823564163668,9.76741507681428,28.398120749504933
Sudan,China,2778760896.20108,16.01968904986606,29.95823564163668,36.569851341711335,103.91702289557536
Sudan,South Atlantic Ocean,3681543574.89078,16.01968904986606,29.95823564163668,-33.73758393241584,-18.834109113606257
Sudan,Indian Ocean,12516086848.4096,16.01968904986606,29.95823564163668,-27.27272098756299,79.60241033422611
Sudan,Mediterranean Region,371049152.451459,16.01968904986606,29.95823564163668,35.045423020618564,17.9973710365129
Sudan,North Atlantic Ocean,24273987701.0751,16.01968904986606,29.95823564163668,31.77621229620658,-40.24757688973919
Sudan,Caspian Sea,184813545.000818,16.01968904986606,29.95823564163668,41.76055465953741,50.796437115631306
Sweden,Austria,138543801.015784,62.77535346560089,16.75789887873426,47.5870336183744,14.140355056156675
Sweden,Bulgaria,127560042.496407,62.77535346560089,16.75789887873426,42.75742963171802,25.23563788298292
Sweden,Belarus,1156663455.36266,62.77535346560089,16.75789887873426,53.54083951254637,28.04700084631101
Sweden,Canada,597648588.402873,62.77535346560089,16.75789887873426,61.4040421572725,-98.25100504318556
Sweden,Denmark,790598887.893502,62.77535346560089,16.75789887873426,55.95921703883884,10.0541862481386
Sweden,Spain,154724033.970417,62.77535346560089,16.75789887873426,40.22782019628817,-3.646138090754505
Sweden,Estonia,1543428371.673,62.77535346560089,16.75789887873426,58.6712158739084,25.544583969115862
Sweden,Greece,130745945.033936,62.77535346560089,16.75789887873426,39.04416485795157,22.98459477674008
Sweden,Czechia,167082120.778324,62.77535346560089,16.75789887873426,49.73904752197896,15.331421805475212
Sweden,Germany,1285800208.11228,62.77535346560089,16.75789887873426,51.108843015081305,10.391004222501474
Sweden,Georgia,105335121.418482,62.77535346560089,16.75789887873426,42.18070632594525,43.50580781452865
Sweden,France,520512164.864826,62.77535346560089,16.75789887873426,46.62376400862158,2.462291511760154
Sweden,Finland,14135015763.7277,62.77535346560089,16.75789887873426,64.47584897624566,26.2271497131354
Sweden,Greenland,3000818626.27333,62.77535346560089,16.75789887873426,74.75893363638164,-41.30934180269345
Sweden,Hungary,123245343.925481,62.77535346560089,16.75789887873426,47.16522010692605,19.412030597425225
Sweden,Ireland,111580974.452116,62.77535346560089,16.75789887873426,53.17829085480803,-8.149592792751736
Sweden,Iran,121023361.656646,62.77535346560089,16.75789887873426,32.56443118724894,54.30100636263344
Sweden,Iceland,619526444.064071,62.77535346560089,16.75789887873426,64.98434388003032,-18.58069192819637
Sweden,Italy,267238685.374176,62.77535346560089,16.75789887873426,42.7873712588429,12.075725981213232
